Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
Drew Brees,287,286,172-114-0,7142,10551,67.7,80358,571,5.4,243,2.3,3961,51.2,98,7.6,7.66,11.3,280.0,98.7,420,2991,3.83,7.05,7.10,36,53,277,1
Peyton Manning,266,265,186-79-0,6125,9380,65.3,71940,539,5.7,251,2.7,3673,51.4,86,7.7,7.61,11.7,270.5,96.5,303,1953,3.13,7.23,7.17,43,54,271,1
Brett Favre,302,298,186-112-0,6300,10169,62.0,71838,508,5.0,336,3.3,3569,46.9,99,7.1,6.58,11.4,237.9,86.0,525,3487,4.91,6.39,5.93,28,43,259,1
Dan Marino,242,240,147-93-0,4967,8358,59.4,61361,420,5.0,252,3.0,3003,48.5,85,7.3,6.99,12.4,253.6,86.4,270,1930,3.13,6.89,6.55,33,47,216,1
Eli Manning,236,234,117-117-0,4895,8119,60.3,57023,366,4.5,244,3.0,2694,45.2,99,7.0,6.57,11.6,241.6,84.1,411,2870,4.82,6.35,5.92,27,37,169,0
John Elway,234,231,148-82-1,4123,7250,56.9,51475,300,4.1,226,3.1,2428,43.1,86,7.1,6.52,12.5,220.0,79.9,516,3785,6.64,6.14,5.6,31,40,206,1
Warren Moon,208.0,203.0,102-101-0,3988.0,6823.0,58.4,49325.0,291.0,4.3,233.0,3.4,2360.0,46.1,87.0,7.2,6.55,12.4,237.1,80.9,458.0,3415.0,6.29,6.31,5.66,25.0,35.0,163.0,1
Fran Tarkenton,246.0,239.0,124-109-6,3686.0,6467.0,57.0,47003.0,342.0,5.3,266.0,4.1,174.0,43.9,89.0,7.3,6.47,12.8,191.1,80.4,570.0,5207.0,8.1,5.94,5.21,29.0,33.0,233.0,1
Carson Palmer,182.0,181.0,92-88-1,3941.0,6307.0,62.5,46247.0,294.0,4.7,187.0,3.0,2301.0,47.4,91.0,7.3,6.93,11.7,254.1,87.9,340.0,2364.0,5.12,6.6,6.22,22.0,35.0,141.0,0
Vinny Testaverde,233,214,90-123-1,3787,6701,56.5,46233,275,4.1,267,4.0,2243,42.8,89,6.9,5.93,12.2,198.4,75.0,417,2992,5.86,6.07,5.16,29,33,141,0
Drew Bledsoe,194.0,193.0,98-95-0,3839.0,6717.0,57.2,44611.0,251.0,3.7,206.0,3.1,2209.0,43.1,86.0,6.6,6.01,11.6,230.0,77.1,467.0,3135.0,6.5,5.77,5.18,24.0,31.0,139.0,0
Dan Fouts,181,171,86-84-1,3297,5604,58.8,43040,254,4.5,242,4.3,1738.0,49.3,81,7.7,6.64,13.1,237.8,80.2,319,2304,5.39,6.88,5.9,21,23,163,1
Kerry Collins,198.0,180.0,81-99-0,3487.0,6261.0,55.7,40922.0,208.0,3.3,196.0,3.1,2024.0,42.7,89.0,6.5,5.79,11.7,206.7,73.8,337.0,2230.0,5.11,5.86,5.16,21.0,30.0,112.0,0
Joe Montana,192,164,117-47-0,3409,5391,63.2,40551,273,5.1,139,2.6,1958,47.8,96,7.5,7.37,11.9,211.2,92.3,313,2095,5.49,6.74,6.60,26,28,166,1
Johnny Unitas,211.0,185.0,118-63-4,2830.0,5186.0,54.6,40239.0,290.0,5.6,253.0,4.9,,,89.0,7.8,6.68,14.2,190.7,78.2,307.0,3090.0,7.03,6.76,5.46,34.0,38.0,145.0,1
Dave Krieg,213.0,175.0,98-77-0,3105.0,5311.0,58.5,38147.0,261.0,4.9,199.0,3.7,1828.0,42.5,80.0,7.2,6.48,12.3,179.1,81.5,494.0,3794.0,8.51,5.92,5.27,23.0,25.0,138.0,0
Boomer Esiason,187.0,173.0,80-93-0,2969.0,5205.0,57.0,37920.0,247.0,4.7,184.0,3.5,1821.0,44.8,86.0,7.3,6.64,12.8,202.8,81.1,318.0,2438.0,5.76,6.42,5.82,19.0,26.0,137.0,0
Donovan McNabb,167.0,161.0,98-62-1,3170.0,5374.0,59.0,37276.0,234.0,4.4,117.0,2.2,1727.0,43.3,91.0,6.9,6.83,11.8,223.2,85.6,410.0,2626.0,7.09,5.99,5.89,16.0,24.0,138.0,0
Matt Hasselbeck,209.0,160.0,85-75-0,3222.0,5330.0,60.5,36638.0,212.0,4.0,153.0,2.9,1830.0,45.3,87.0,6.9,6.38,11.4,175.3,82.4,360.0,2260.0,6.33,6.04,5.58,15.0,24.0,110.0,0
Alex Smith,174,167,99-67-1,3250,5193,62.6,35650,199,3.8,109,2.1,1696,42.5,80,6.9,6.69,11.0,204.9,86.9,432,2463,7.68,5.90,5.74,19,23,120,0
Jim Kelly,160,160,101-59-0,2874,4779,60.1,35467,237,5.0,175,3.7,1666,47.0,84,7.4,6.77,12.3,221.7,84.4,323,2427,6.33,6.48,5.86,21,28,132,1
Jay Cutler,153.0,153.0,74-79-0,3048.0,4920.0,62.0,35133.0,227.0,4.6,160.0,3.3,1695.0,45.0,93.0,7.1,6.6,11.5,229.6,85.3,322.0,2035.0,6.14,6.31,5.81,23.0,28.0,109.0,0
Jim Everett,158.0,153.0,64-89-0,2841.0,4923.0,57.7,34837.0,203.0,4.1,175.0,3.6,1692.0,45.4,81.0,7.1,6.3,12.3,220.5,78.6,257.0,1885.0,4.96,6.36,5.62,11.0,14.0,108.0,0
Jim Hart,201.0,180.0,87-88-5,2593.0,5076.0,51.1,34665.0,209.0,4.1,247.0,4.9,510.0,39.2,98.0,6.8,5.46,13.4,172.5,66.6,282.0,2305.0,5.26,6.04,4.75,20.0,23.0,131.0,0
Tony Romo,156,127,78-49-0,2829,4335,65.3,34183,248,5.7,117,2.7,1659,50.2,85.0,7.9,7.81,12.1,219.1,97.1,248,1672,5.41,7.09,7.03,24,29,115,0
John Hadl,224.0,166.0,82-75-9,2363.0,4687.0,50.4,33503.0,244.0,5.2,268.0,5.7,,,85.0,7.1,5.62,14.2,149.6,67.4,284.0,2595.0,5.71,6.22,4.77,15.0,15.0,146.0,0
Phil Simms,164,159,95-64-0,2576,4647,55.4,33462,199,4.3,157,3.4,1598,41.9,80,7.2,6.54,13.0,204.0,78.5,477,3418,9.31,5.86,5.26,11,17,118,0
Steve Young,169.0,143.0,94-49-0,2667.0,4149.0,64.3,33124.0,232.0,5.6,107.0,2.6,1586.0,48.7,97.0,8.0,7.94,12.4,196.0,96.8,358.0,2055.0,7.94,6.89,6.85,13.0,16.0,168.0,1
Y.A. Tittle,204.0,152.0,78-50-5,2427.0,4395.0,55.2,33070.0,242.0,5.5,248.0,5.6,,,80.0,7.5,6.09,13.6,162.1,74.3,167.0,3571.0,7.66,6.47,5.82,24.0,23.0,47.0,1
Troy Aikman,165,165,94-71-0,2898,4715,61.5,32942,165,3.5,141,3.0,1627,45.5,90,7.0,6.34,11.4,199.6,81.6,259,1748,5.21,6.27,5.66,15,20,120,1
Ken Anderson,192,172,91-81-0,2654,4475,59.3,32838,197,4.4,160,3.6,838.0,46.6,94,7.3,6.61,12.4,171.0,81.9,398,2875,8.17,6.15,5.48,10,14,160,0
Kurt Warner,124.0,116.0,67-49-0,2666.0,4070.0,65.5,32344.0,208.0,5.1,128.0,3.1,1545.0,49.7,85.0,7.9,7.55,12.1,260.8,93.7,260.0,1669.0,6.0,7.08,6.71,7.0,11.0,113.0,1
Sonny Jurgensen,218.0,147.0,69-71-7,2433.0,4262.0,57.1,32224.0,255.0,6.0,189.0,4.4,,,99.0,7.6,6.76,13.2,147.8,82.6,294.0,2541.0,6.59,6.52,5.81,18.0,14.0,136.0,1
Mark Brunell,193.0,151.0,78-73-0,2761.0,4640.0,59.5,32072.0,184.0,4.0,108.0,2.3,1579.0,44.0,79.0,6.9,6.66,11.6,166.2,84.0,390.0,2395.0,7.75,5.9,5.67,16.0,22.0,120.0,0
John Brodie,201,158,74-76-8,2469,4491,55.0,31548,214,4.8,224,5.0,,,83,7.0,5.73,12.8,157.0,72.3,207.0,1855.0,4.66,6.32,5.19,21,22,129.0,0
